file,gameName,stateClass,status,moves,durationMs,error
La'b Akila,La'b Akila,LaBAkilaState,OK,81,40,
Lam Waladach,Lam Waladach,?,START_FAIL,0,39,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Lamosh,Lamosh,?,START_FAIL,0,53,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Laomuzhu,Laomuzhu,LaomuzhuState,OK,3710,149,
Leyla Gobale (Gabradarre),Leyla Gobale (Gabradarre),?,START_FAIL,0,75,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Leyla Gobale (Somaliland),Leyla Gobale (Somaliland),LeylaGobaleSomalilandState,OK,140,46,
Leyla,Leyla,LeylaState,OK,278,46,
Li'b al-'Aqil,Li'b al-'Aqil,LiBAlAqilState,OK,2883,89,
Li'b al-Ghashim,Li'b al-Ghashim,LiBAlGhashimState,MOVE_LIMIT,5000,125,exceeded 5000 moves
Lontu-Holo,Lontu-Holo,LontuHoloState,OK,2752,63,
Luuth,Luuth,LuuthState,OK,29,37,
Main Chongkak,Main Chongkak,?,START_FAIL,0,41,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Mangala (Bedouin),Mangala (Bedouin),MangalaBedouinState,OK,27,30,
Mangala (Suez),Mangala (Suez),MangalaSuezState,OK,7,24,
Mangala (Turkey),Mangala (Turkey),MangalaTurkeyState,OK,50,24,
Mank,Mank,MankState,OK,94,36,
Mankala,Mankala,MankalaState,OK,146,30,
Mawkar Katiya,Mawkar Katiya,?,START_FAIL,0,75,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Meusueb,Meusueb,MeusuebState,OK,376,41,
Mewegae,Mewegae,?,START_FAIL,0,53,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Mewelad,Mewelad,?,START_FAIL,0,38,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Motiq,Motiq,?,START_FAIL,0,62,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Ntyenge,Ntyenge,NtyengeState,OK,117,24,
O An Quan,O An Quan,?,START_FAIL,0,170,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Obridje,Obridje,ObridjeState,OK,1,38,
Okwe (Nigeria),Okwe (Nigeria),OkweNigeriaState,OK,2500,61,
Omangunta Peeta,Omangunta Peeta,?,START_FAIL,0,67,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Oure Ngat,Oure Ngat,OureNgatState,OK,2500,32,
Ovalhu,Ovalhu,?,START_FAIL,0,52,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Oware,Oware,OwareState,PLAYOUT_FAIL,0,89,NullPointerException: Cannot invoke "gnu.trove.list.array.TIntArrayList.contains(int)" because the return value of "other.state.State.propositions()" is null
Pachgarhwa,Pachgarhwa,PachgarhwaState,OK,14,28,
Pallankuli,Pallankuli,?,START_FAIL,0,49,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Papan Dakon,Papan Dakon,?,START_FAIL,0,40,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Puhulmutu,Puhulmutu,?,START_FAIL,0,161,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Qelat (Beni Amir-Mensa),Qelat (Beni Amir-Mensa),QelatBeniAmirMensaState,OK,2500,39,
Qelat,Qelat,?,START_FAIL,0,48,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Raja Pasu Mandiri,Raja Pasu Mandiri,?,START_FAIL,0,83,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Rio Kadalis,Rio Kadalis,?,START_FAIL,0,44,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Shono,Shono,ShonoState,OK,129,55,
Sonka,Sonka,SonkaState,MOVE_LIMIT,5000,67,exceeded 5000 moves
Sungka,Sungka,SungkaState,MOVE_LIMIT,5000,85,exceeded 5000 moves
Tap Urdy,Tap Urdy,TapUrdyState,OK,128,37,
Tapata,Tapata,TapataState,OK,107,40,
Ti,Ti,TiState,OK,2,43,
Toguz Kumalak,Toguz Kumalak,ToguzKumalakState,OK,276,51,
Tuz,Tuz,?,START_FAIL,0,60,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Um el Banat,Um el Banat,?,START_FAIL,0,49,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Um el Tuweisat,Um el Tuweisat,UmElTuweisatState,OK,69,67,
Um el-Bagara,Um el-Bagara,UmElBagaraState,OK,105,68,
Um el-Bil,Um el-Bil,UmElBilState,OK,127,28,
